code,name,city_code,country_id,lon,lat
LPA,Gran Canaria Airport,LPA,ES,-15.389182071609516,27.92879945
BCN,Barcelona-El Prat Airport,BCN,ES,2.079047362981321,41.29694395
MAD,Adolfo Suarez Madrid-Barajas Airport,MAD,ES,-3.5740806206811317,40.4948384
VLC,Valencia Airport,VLC,ES,-0.481209186098332,39.4878647
MEN,Brenoux,MEN,FR,3.531054995040395,44.50240255
AVN,Avignon-Caumont Airport,AVN,FR,4.9,43.9
ORY,Paris Orly Airport,PAR,FR,2.35572229362018,48.748477050000005
XTT,Etoile,PAR,FR,2.3522219,48.856614
ZAO,Laberandie,ZAO,FR,1.45,44.45
NQT,Nottingham Airport,NQT,GB,-1.166667,52.966667
NWI,Norwich International Airport,NWI,GB,1.280694242297851,52.6683484
SEN,London Southend Airport,LON,GB,0.6966132970490921,51.5702276
EDI,Edinburgh Airport,EDI,GB,-3.359507985528976,55.9501289
LGW,London Gatwick Airport,LON,GB,-0.1823116499127204,51.1541082
LHR,London Heathrow Airport,LON,GB,-0.4587800741571181,51.46773895
TBS,Tbilisi International Airport,TBS,GE,44.95514406314355,41.66958674999999
BUS,Batumi Airport,BUS,GE,41.6111627,41.6068476
SUI,Babusheri,SUI,GE,41.11667,42.86667
KUT,Kutaisi International Airport,KUT,GE,42.7,42.25
BLQ,Guglielmo Marconi Airport,BLQ,IT,11.293289,44.529266
RRO,Sorrento,RRO,IT,14.366667,40.61667
FCO,Leonardo da Vinci-Fiumicino Airport,ROM,IT,12.22690120488078,41.8144309
PRJ,Capri,PRJ,IT,14.233333,40.55
LUX,Luxembourg Airport,LUX,LU,6.209403407206421,49.62637155
CMN,Mohamed V International Airport,CAS,MA,-7.586667,33.36667
TNG,Tangier Ibn Battouta Airport,TNG,MA,-5.912942469695661,35.72920725
NDR,Nador International Airport,NDR,MA,-3.036671157151174,34.9876917
